contactPntX,contactPntY,contactPntZ,normalX,normalY,normalZ,maxCurvature,maxCurvDirectionX,maxCurvDirectionY,maxCurvDirectionZ,minCurvature,minCurvDirectionX,minCurvDirectionY,minCurvDirectionZ,meanCurvature,GaussianCurvature,endOfRevolution(T/F)
-15.5329,57.9810,-0.0550,0.0340,-0.1269,0.9913,0.1575,-0.2565,0.9576,0.1314,-0.0022,-0.9659,-0.2588,0.0000,0.0776,-0.0003,0
-16.4967,57.7142,-0.0550,0.0361,-0.1263,0.9913,0.1575,-0.2724,0.9532,0.1314,-0.0022,-0.9615,-0.2748,0.0000,0.0776,-0.0003,0
-17.4559,57.4316,-0.0550,0.0382,-0.1257,0.9913,0.1575,-0.2883,0.9485,0.1313,-0.0022,-0.9568,-0.2908,0.0000,0.0776,-0.0003,0
-18.4101,57.1326,-0.0550,0.0403,-0.1250,0.9913,0.1575,-0.3040,0.9436,0.1314,-0.0022,-0.9518,-0.3067,0.0000,0.0776,-0.0003,0
-19.3594,56.8180,-0.0550,0.0424,-0.1243,0.9913,0.1575,-0.3197,0.9384,0.1314,-0.0022,-0.9466,-0.3225,0.0000,0.0776,-0.0003,0
-20.3033,56.4878,-0.0550,0.0444,-0.1236,0.9913,0.1575,-0.3353,0.9329,0.1313,-0.0022,-0.9411,-0.3382,0.0000,0.0776,-0.0003,0
-21.2414,56.1415,-0.0550,0.0465,-0.1229,0.9913,0.1575,-0.3508,0.9272,0.1314,-0.0022,-0.9353,-0.3539,0.0000,0.0776,-0.0003,0
-22.1737,55.7799,-0.0550,0.0485,-0.1221,0.9913,0.1575,-0.3662,0.9212,0.1314,-0.0022,-0.9293,-0.3694,0.0000,0.0776,-0.0003,0
-23.0999,55.4029,-0.0550,0.0505,-0.1212,0.9913,0.1575,-0.3815,0.9150,0.1313,-0.0022,-0.9230,-0.3848,0.0000,0.0776,-0.0003,0
-24.0195,55.0103,-0.0550,0.0526,-0.1204,0.9913,0.1575,0.3967,-0.9085,-0.1314,-0.0022,-0.9164,-0.4002,-0.0000,0.0776,-0.0003,0
-24.9327,54.6026,-0.0550,0.0546,-0.1195,0.9913,0.1575,0.4118,-0.9018,-0.1314,-0.0022,-0.9097,-0.4154,-0.0000,0.0776,-0.0003,0
-25.8388,54.1797,-0.0550,0.0565,-0.1186,0.9913,0.1575,0.4267,-0.8948,-0.1314,-0.0022,-0.9026,-0.4305,-0.0000,0.0776,-0.0003,0
-26.7377,53.7416,-0.0550,0.0585,-0.1176,0.9913,0.1575,0.4416,-0.8876,-0.1314,-0.0022,-0.8953,-0.4454,-0.0000,0.0776,-0.0003,0
-27.6294,53.2889,-0.0550,0.0605,-0.1166,0.9913,0.1575,0.4563,-0.8801,-0.1314,-0.0022,-0.8878,-0.4603,-0.0000,0.0776,-0.0003,0
-28.5132,52.8212,-0.0550,0.0624,-0.1156,0.9913,0.1575,0.4709,-0.8724,-0.1314,-0.0022,-0.8800,-0.4750,-0.0000,0.0776,-0.0003,0
-29.3892,52.3387,-0.0550,0.0643,-0.1146,0.9913,0.1575,0.4854,-0.8644,-0.1314,-0.0022,-0.8719,-0.4896,-0.0000,0.0776,-0.0003,0
-30.2571,51.8420,-0.0550,0.0662,-0.1134,0.9913,0.1575,0.4997,-0.8562,-0.1313,-0.0022,-0.8637,-0.5041,-0.0000,0.0776,-0.0003,0
-31.1164,51.3307,-0.0550,0.0681,-0.1123,0.9913,0.1575,0.5139,-0.8477,-0.1314,-0.0022,-0.8551,-0.5184,-0.0000,0.0776,-0.0003,0
-31.9672,50.8052,-0.0550,0.0700,-0.1112,0.9913,0.1575,0.5279,-0.8391,-0.1314,-0.0022,-0.8464,-0.5326,-0.0000,0.0776,-0.0003,0
-32.8092,50.2658,-0.0550,0.0718,-0.1100,0.9913,0.1575,0.5419,-0.8301,-0.1313,-0.0022,-0.8374,-0.5466,-0.0000,0.0776,-0.0003,0
-33.6419,49.7121,-0.0550,0.0736,-0.1088,0.9913,0.1575,0.5556,-0.8210,-0.1314,-0.0022,-0.8282,-0.5605,-0.0000,0.0776,-0.0003,0
-34.4654,49.1447,-0.0550,0.0754,-0.1076,0.9913,0.1575,0.5692,-0.8116,-0.1314,-0.0022,-0.8187,-0.5742,-0.0000,0.0776,-0.0003,0
-35.2795,48.5640,-0.0550,0.0772,-0.1063,0.9913,0.1575,0.5826,-0.8020,-0.1313,-0.0022,-0.8091,-0.5877,-0.0000,0.0776,-0.0003,0
-36.0834,47.9693,-0.0550,0.0790,-0.1050,0.9913,0.1575,0.5959,-0.7922,-0.1314,-0.0022,-0.7991,-0.6011,-0.0000,0.0776,-0.0003,0
-36.8775,47.3616,-0.0550,0.0807,-0.1037,0.9913,0.1575,0.6090,-0.7822,-0.1314,-0.0022,-0.7890,-0.6144,-0.0000,0.0776,-0.0003,0
-37.6615,46.7408,-0.0550,0.0824,-0.1023,0.9913,0.1575,0.6220,-0.7719,-0.1313,-0.0022,-0.7787,-0.6274,-0.0000,0.0776,-0.0003,0
-38.4348,46.1068,-0.0550,0.0841,-0.1009,0.9913,0.1575,0.6348,-0.7615,-0.1314,-0.0022,-0.7681,-0.6403,-0.0000,0.0776,-0.0003,0
-39.1976,45.4601,-0.0550,0.0858,-0.0995,0.9913,0.1575,0.6474,-0.7508,-0.1314,-0.0022,-0.7573,-0.6530,-0.0000,0.0776,-0.0003,0
-39.9495,44.8009,-0.0550,0.0874,-0.0980,0.9913,0.1575,0.6598,-0.7399,-0.1313,-0.0022,-0.7464,-0.6655,-0.0000,0.0776,-0.0003,0
-40.6902,44.1291,-0.0550,0.0891,-0.0966,0.9913,0.1575,0.6720,-0.7288,-0.1314,-0.0022,-0.7352,-0.6779,-0.0000,0.0776,-0.0003,0
-41.4198,43.4452,-0.0550,0.0906,-0.0951,0.9913,0.1575,0.6841,-0.7175,-0.1314,-0.0022,-0.7238,-0.6900,-0.0000,0.0776,-0.0003,0
-42.1378,42.7492,-0.0550,0.0922,-0.0935,0.9913,0.1575,0.6959,-0.7060,-0.1314,-0.0022,-0.7122,-0.7020,-0.0000,0.0776,-0.0003,0
-42.8440,42.0412,-0.0550,0.0938,-0.0920,0.9913,0.1575,0.7076,-0.6943,-0.1314,-0.0022,-0.7004,-0.7138,-0.0000,0.0776,-0.0003,0
-43.5385,41.3217,-0.0550,0.0953,-0.0904,0.9913,0.1575,-0.7190,0.6824,0.1314,-0.0022,-0.6884,-0.7253,0.0000,0.0776,-0.0003,0
-44.2208,40.5907,-0.0550,0.0968,-0.0888,0.9913,0.1575,-0.7303,0.6704,0.1314,-0.0022,-0.6762,-0.7367,0.0000,0.0776,-0.0003,0
-44.8908,39.8483,-0.0550,0.0983,-0.0872,0.9913,0.1575,-0.7414,0.6581,0.1314,-0.0022,-0.6639,-0.7479,0.0000,0.0776,-0.0003,0
-45.5485,39.0951,-0.0550,0.0997,-0.0855,0.9913,0.1575,-0.7522,0.6457,0.1313,-0.0022,-0.6513,-0.7588,0.0000,0.0776,-0.0003,0
