contactPntX,contactPntY,contactPntZ,normalX,normalY,normalZ,maxCurvature,maxCurvDirectionX,maxCurvDirectionY,maxCurvDirectionZ,minCurvature,minCurvDirectionX,minCurvDirectionY,minCurvDirectionZ,meanCurvature,GaussianCurvature,endOfRevolution(T/F)
2.9141,51.7143,-0.0550,-0.0074,-0.1311,0.9913,0.1575,0.0558,0.9898,0.1313,-0.0025,-0.9984,0.0563,0.0000,0.0775,-0.0004,0
1.9152,51.7609,-0.0550,-0.0049,-0.1312,0.9913,0.1575,0.0367,0.9907,0.1313,-0.0025,-0.9993,0.0370,0.0000,0.0775,-0.0004,0
0.9156,51.7882,-0.0550,-0.0023,-0.1313,0.9913,0.1575,0.0175,0.9912,0.1313,-0.0025,-0.9998,0.0177,0.0000,0.0775,-0.0004,0
-0.0843,51.7962,-0.0550,0.0002,-0.1313,0.9913,0.1575,-0.0016,0.9913,0.1313,-0.0025,-1.0000,-0.0016,0.0000,0.0775,-0.0004,0
-1.0843,51.7850,-0.0550,0.0027,-0.1313,0.9913,0.1575,-0.0208,0.9911,0.1313,-0.0025,-0.9998,-0.0209,0.0000,0.0775,-0.0004,0
-2.0838,51.7544,-0.0550,0.0053,-0.1312,0.9913,0.1575,-0.0399,0.9905,0.1313,-0.0025,-0.9992,-0.0402,0.0000,0.0775,-0.0004,0
-3.0825,51.7045,-0.0550,0.0078,-0.1311,0.9913,0.1575,-0.0590,0.9896,0.1313,-0.0025,-0.9982,-0.0595,0.0000,0.0775,-0.0004,0
-4.0801,51.6354,-0.0550,0.0103,-0.1309,0.9913,0.1575,-0.0781,0.9883,0.1313,-0.0025,-0.9969,-0.0788,0.0000,0.0775,-0.0004,0
-5.0762,51.5470,-0.0550,0.0129,-0.1307,0.9913,0.1575,-0.0972,0.9866,0.1313,-0.0025,-0.9952,-0.0980,0.0000,0.0775,-0.0004,0
-6.0704,51.4394,-0.0550,0.0154,-0.1304,0.9913,0.1575,-0.1162,0.9845,0.1313,-0.0025,-0.9931,-0.1172,0.0000,0.0775,-0.0004,0
-7.0623,51.3126,-0.0550,0.0179,-0.1301,0.9913,0.1575,-0.1352,0.9821,0.1313,-0.0025,-0.9907,-0.1363,0.0000,0.0775,-0.0004,0
-8.0516,51.1667,-0.0550,0.0204,-0.1297,0.9913,0.1575,-0.1541,0.9793,0.1313,-0.0025,-0.9878,-0.1554,0.0000,0.0775,-0.0004,0
-9.0378,51.0017,-0.0550,0.0229,-0.1293,0.9913,0.1575,-0.1730,0.9761,0.1313,-0.0025,-0.9847,-0.1745,0.0000,0.0775,-0.0004,0
-10.0207,50.8177,-0.0550,0.0254,-0.1288,0.9913,0.1575,-0.1918,0.9726,0.1313,-0.0025,-0.9811,-0.1935,0.0000,0.0775,-0.0004,0
-10.9999,50.6148,-0.0550,0.0279,-0.1283,0.9913,0.1575,-0.2105,0.9687,0.1313,-0.0025,-0.9772,-0.2124,0.0000,0.0775,-0.0004,0
-11.9750,50.3930,-0.0550,0.0304,-0.1278,0.9913,0.1575,-0.2292,0.9645,0.1313,-0.0025,-0.9729,-0.2312,0.0000,0.0775,-0.0004,0
-12.9456,50.1524,-0.0550,0.0328,-0.1272,0.9913,0.1575,-0.2478,0.9599,0.1313,-0.0025,-0.9683,-0.2499,0.0000,0.0775,-0.0004,0
-13.9114,49.8932,-0.0550,0.0353,-0.1265,0.9913,0.1575,-0.2663,0.9549,0.1313,-0.0025,-0.9633,-0.2686,0.0000,0.0775,-0.0004,0
-14.8720,49.6153,-0.0550,0.0377,-0.1258,0.9913,0.1575,-0.2846,0.9496,0.1313,-0.0025,-0.9579,-0.2871,0.0000,0.0775,-0.0004,0
-15.8271,49.3190,-0.0550,0.0401,-0.1250,0.9913,0.1575,-0.3029,0.9439,0.1313,-0.0025,-0.9522,-0.3056,0.0000,0.0775,-0.0004,0
